                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.00522,                0.58301,                0.92599,                0.00573,                0.82239,                0.97515,                0.61314,                      1,                0.88071,                0.64442,                0.00727,                0.66163,                 1.2565,                0.00813,                0.71739,                 1.2027,              0.0057925,              0.0057925,              0.0057925
                     88,                  0.005,                0.58847,                0.96733,                0.00569,                0.64327,                 1.0538,                0.61314,                      1,                0.88071,                0.64442,                0.00727,                0.66163,                 1.2565,                0.00813,                0.71739,                 1.2027,               0.005743,               0.005743,               0.005743
                     89,                0.00506,                0.57307,                0.95206,                0.00572,                0.62566,                 1.0255,                0.78908,                      1,                0.92833,                0.65927,                 0.0073,                0.60767,                 1.2064,                0.00774,                  0.593,                 1.1871,              0.0056935,              0.0056935,              0.0056935
                     90,                0.00509,                 0.5602,                0.94429,                0.00587,                0.70027,                 1.0131,                0.78908,                      1,                0.92833,                0.65927,                 0.0073,                0.60767,                 1.2064,                0.00774,                  0.593,                 1.1871,               0.005644,               0.005644,               0.005644
                     91,                0.00541,                0.60101,                0.97399,                0.00659,                0.65455,                 1.0947,                0.83256,                0.99534,                0.96167,                 0.7081,                0.00787,                0.62356,                 1.2541,                0.00772,                0.49753,                 1.1823,              0.0055945,              0.0055945,              0.0055945
                     92,                0.00534,                0.62003,                0.92217,                0.00626,                0.63135,                 1.0027,                0.98357,                    0.8,                0.96167,                0.71438,                0.00761,                0.68633,                 1.2575,                0.00679,                0.53381,                  1.202,               0.005545,               0.005545,               0.005545
                     93,                0.00492,                0.60984,                0.96876,                0.00619,                0.67876,                 1.0483,                0.98357,                    0.8,                0.96167,                0.71438,                0.00761,                0.68633,                 1.2575,                0.00679,                0.53381,                  1.202,              0.0054955,              0.0054955,              0.0054955
                     94,                0.00531,                0.62499,                   0.99,                0.00627,                0.70119,                 1.0861,                      1,                0.98956,                  0.995,                0.79183,                0.00779,                0.63975,                 1.2846,                0.00712,                0.50708,                  1.222,               0.005446,               0.005446,               0.005446
                     95,                0.00502,                0.61309,                0.96023,                0.00679,                0.58079,                 1.0925,                0.82285,                      1,                0.96167,                0.74231,                0.00777,                0.62515,                 1.2533,                0.00687,                0.46774,                 1.2243,              0.0053965,              0.0053965,              0.0053965
                     96,                0.00572,                0.63355,                 1.0443,                0.00616,                0.77911,                  1.098,                0.82285,                      1,                0.96167,                0.74231,                0.00777,                0.62515,                 1.2533,                0.00687,                0.46774,                 1.2243,               0.005347,               0.005347,               0.005347
                     97,                0.00494,                0.54366,                 0.9356,                0.00595,                0.62424,                 1.0269,                0.98746,                      1,                  0.995,                0.79291,                0.00751,                0.57991,                 1.2122,                0.00704,                0.33724,                 1.2386,              0.0052975,              0.0052975,              0.0052975
                     98,                0.00477,                0.54377,                0.94109,                0.00576,                0.57583,                 1.0383,                0.98746,                      1,                  0.995,                0.79291,                0.00751,                0.57991,                 1.2122,                0.00704,                0.33724,                 1.2386,               0.005248,               0.005248,               0.005248
                     99,                0.00503,                0.57388,                0.94358,                0.00645,                0.63244,                 1.0241,                0.98117,                      1,                  0.995,                0.76085,                0.00772,                0.63126,                 1.1767,                0.00745,                0.46569,                 1.2429,              0.0051985,              0.0051985,              0.0051985
                    100,                0.00501,                0.56634,                0.92146,                0.00635,                0.56369,                 1.0049,                   0.99,                      1,                  0.995,                0.73354,                0.00744,                0.58643,                 1.1858,                0.00794,                0.38478,                 1.2385,               0.005149,               0.005149,               0.005149
                    101,                0.00521,                0.55719,                0.93955,                0.00597,                0.65756,                0.99634,                   0.99,                      1,                  0.995,                0.73354,                0.00744,                0.58643,                 1.1858,                0.00794,                0.38478,                 1.2385,              0.0050995,              0.0050995,              0.0050995
                    102,                0.00522,                0.55758,                0.94905,                0.00633,                0.62498,                 1.0502,                0.98962,                      1,                  0.995,                0.73755,                0.00745,                0.59338,                 1.2273,                0.00895,                0.38609,                 1.3746,                0.00505,                0.00505,                0.00505
                    103,                0.00534,                0.56828,                0.96224,                0.00625,                0.65726,                 1.0613,                 0.9913,                      1,                  0.995,                0.73927,                0.00751,                0.57697,                 1.2249,                0.00888,                0.39343,                 1.4202,              0.0050005,              0.0050005,              0.0050005
                    104,                0.00463,                0.53038,                0.92504,                0.00559,                0.61241,                 1.0396,                 0.9913,                      1,                  0.995,                0.73927,                0.00751,                0.57697,                 1.2249,                0.00888,                0.39343,                 1.4202,               0.004951,               0.004951,               0.004951
                    105,                0.00486,                0.57133,                0.92679,                0.00536,                0.81478,                 1.0276,                      1,                0.99872,                  0.995,                0.70752,                0.00736,                0.55235,                 1.2258,                0.00975,                0.51037,                 1.5484,              0.0049015,              0.0049015,              0.0049015
                    106,                 0.0045,                0.51012,                0.91711,                0.00506,                0.56819,                0.96294,                      1,                0.99872,                  0.995,                0.70752,                0.00736,                0.55235,                 1.2258,                0.00975,                0.51037,                 1.5484,               0.004852,               0.004852,               0.004852
                    107,                0.00503,                0.54127,                0.93389,                0.00604,                0.62073,                 1.0269,                      1,                0.99783,                  0.995,                0.72279,                0.00762,                0.59408,                 1.2238,                0.00953,                0.45529,                 1.5419,              0.0048025,              0.0048025,              0.0048025
